,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2022-08-16,0.38,0.38,0.37,0.38,196904975.0,196904975.0,0.0
2022-08-17,0.38,0.39,0.37,0.38,333525617.0,333525617.0,0.0
2022-08-18,0.38,0.38,0.37,0.37,206448429.0,206448429.0,-0.010000000000000009
2022-08-19,0.37,0.37,0.33,0.33,437831008.0,437831008.0,-0.03999999999999998
2022-08-20,0.33,0.34,0.33,0.34,206218319.0,206218319.0,0.010000000000000009
2022-08-21,0.34,0.35,0.34,0.34,185595697.0,185595697.0,0.0
2022-08-22,0.34,0.35,0.33,0.34,259125051.0,259125051.0,0.0
2022-08-23,0.34,0.35,0.33,0.35,224844843.0,224844843.0,0.009999999999999953
2022-08-24,0.35,0.35,0.34,0.35,190760736.0,190760736.0,0.0
2022-08-25,0.35,0.35,0.34,0.35,200831070.0,200831070.0,0.0
2022-08-26,0.35,0.37,0.33,0.34,439211758.0,439211758.0,-0.009999999999999953
2022-08-27,0.34,0.34,0.33,0.33,175871454.0,175871454.0,-0.010000000000000009
2022-08-28,0.33,0.34,0.32,0.32,148984590.0,148984590.0,-0.010000000000000009
2022-08-29,0.32,0.33,0.32,0.33,268856257.0,268856257.0,0.010000000000000009
2022-08-30,0.33,0.34,0.32,0.33,213879108.0,213879108.0,0.0
2022-08-31,0.33,0.33,0.32,0.33,195043842.0,195043842.0,0.0
2022-09-01,0.33,0.33,0.32,0.33,183564987.0,183564987.0,0.0
2022-09-02,0.33,0.34,0.33,0.33,179601436.0,179601436.0,0.0
2022-09-03,0.33,0.34,0.33,0.33,103317904.0,103317904.0,0.0
2022-09-04,0.33,0.33,0.33,0.33,95913393.0,95913393.0,0.0
2022-09-05,0.33,0.33,0.32,0.33,178320876.0,178320876.0,0.0
2022-09-06,0.33,0.34,0.32,0.32,337153895.0,337153895.0,-0.010000000000000009
2022-09-07,0.32,0.34,0.31,0.34,267709589.0,267709589.0,0.020000000000000018
2022-09-08,0.34,0.34,0.33,0.34,234589959.0,234589959.0,0.0
2022-09-09,0.34,0.36,0.34,0.36,334849027.0,334849027.0,0.019999999999999962
2022-09-10,0.36,0.36,0.35,0.36,186010258.0,186010258.0,0.0
2022-09-11,0.36,0.36,0.35,0.36,146159090.0,146159090.0,0.0
2022-09-12,0.36,0.36,0.35,0.36,243143764.0,243143764.0,0.0
2022-09-13,0.36,0.36,0.33,0.33,364278378.0,364278378.0,-0.02999999999999997
2022-09-14,0.33,0.34,0.33,0.34,308604961.0,308604961.0,0.010000000000000009
2022-09-15,0.34,0.34,0.32,0.33,406236125.0,406236125.0,-0.010000000000000009
2022-09-16,0.33,0.36,0.32,0.36,370003740.0,370003740.0,0.02999999999999997
2022-09-17,0.36,0.38,0.35,0.38,443007880.0,443007880.0,0.020000000000000018
2022-09-18,0.38,0.4,0.36,0.36,680858418.0,680858418.0,-0.020000000000000018
2022-09-19,0.36,0.39,0.34,0.38,737172977.0,737172977.0,0.020000000000000018
2022-09-20,0.38,0.42,0.37,0.41,1113792429.0,1113792429.0,0.02999999999999997
2022-09-21,0.41,0.43,0.38,0.39,925735817.0,925735817.0,-0.019999999999999962
2022-09-22,0.39,0.5,0.39,0.49,1322834928.0,1322834928.0,0.09999999999999998
2022-09-23,0.49,0.56,0.46,0.51,1820625745.0,1820625745.0,0.020000000000000018
2022-09-24,0.51,0.52,0.47,0.49,711158721.0,711158721.0,-0.020000000000000018
2022-09-25,0.49,0.52,0.48,0.49,738162563.0,738162563.0,0.0
2022-09-26,0.49,0.5,0.46,0.47,626520230.0,626520230.0,-0.020000000000000018
2022-09-27,0.47,0.49,0.43,0.45,628394011.0,628394011.0,-0.019999999999999962
2022-09-28,0.45,0.46,0.42,0.45,595920283.0,595920283.0,0.0
2022-09-29,0.45,0.51,0.43,0.49,788666701.0,788666701.0,0.03999999999999998
2022-09-30,0.49,0.5,0.47,0.48,683028303.0,683028303.0,-0.010000000000000009
2022-10-01,0.48,0.49,0.47,0.48,332745201.0,332745201.0,0.0
2022-10-02,0.48,0.48,0.44,0.45,331325448.0,331325448.0,-0.02999999999999997
2022-10-03,0.45,0.47,0.44,0.46,393625435.0,393625435.0,0.010000000000000009
2022-10-04,0.46,0.49,0.45,0.48,528294804.0,528294804.0,0.019999999999999962
2022-10-05,0.48,0.5,0.47,0.49,582675616.0,582675616.0,0.010000000000000009
2022-10-06,0.49,0.51,0.49,0.49,412623504.0,412623504.0,0.0
2022-10-07,0.49,0.53,0.48,0.52,523500800.0,523500800.0,0.030000000000000027
2022-10-08,0.52,0.53,0.51,0.52,340783746.0,340783746.0,0.0
