,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2023-09-16,1641.3,1653.17,1631.31,1634.4,99555.47,99555.47,-6.899999999999864
2023-09-17,1634.4,1635.0,1612.0,1622.48,120227.41,120227.41,-11.920000000000073
2023-09-18,1622.48,1669.5,1603.88,1636.66,279041.7,279041.7,14.180000000000064
2023-09-19,1636.66,1661.04,1626.32,1643.12,184282.43,184282.43,6.459999999999809
2023-09-20,1643.13,1649.34,1604.51,1622.26,232844.23,232844.23,-20.87000000000012
2023-09-21,1622.27,1625.3,1567.77,1583.94,240627.54,240627.54,-38.32999999999993
2023-09-22,1583.94,1602.68,1576.58,1593.08,124886.09,124886.09,9.139999999999873
2023-09-23,1593.07,1598.24,1587.45,1593.86,64537.13,64537.13,0.7899999999999636
2023-09-24,1593.85,1601.12,1570.01,1580.71,137517.85,137517.85,-13.139999999999873
2023-09-25,1580.71,1597.5,1563.01,1588.33,176706.93,176706.93,7.619999999999891
2023-09-26,1588.34,1599.78,1580.05,1594.01,125583.02,125583.02,5.670000000000073
2023-09-27,1594.02,1634.1,1583.5,1598.64,274404.43,274404.43,4.620000000000118
2023-09-28,1598.63,1668.21,1598.14,1652.99,331409.7,331409.7,54.3599999999999
2023-09-29,1653.0,1688.0,1648.37,1667.45,251975.67,251975.67,14.450000000000045
2023-09-30,1667.45,1694.32,1666.19,1670.89,136924.91,136924.91,3.4400000000000546
2023-10-01,1670.89,1751.0,1668.0,1733.79,225611.59,225611.59,62.899999999999864
2023-10-02,1733.8,1744.0,1636.79,1662.4,378575.69,378575.69,-71.39999999999986
2023-10-03,1662.41,1670.65,1643.0,1656.88,198287.12,198287.12,-5.529999999999973
2023-10-04,1656.88,1657.66,1625.0,1646.58,222861.72,222861.72,-10.300000000000182
2023-10-05,1646.58,1655.47,1606.73,1611.79,237378.74,237378.74,-34.789999999999964
2023-10-06,1611.79,1662.0,1611.68,1645.03,220507.93,220507.93,33.24000000000001
2023-10-07,1645.03,1647.71,1630.03,1633.57,101241.57,101241.57,-11.460000000000036
2023-10-08,1633.56,1641.4,1616.17,1632.84,149424.66,149424.66,-0.7200000000000273
2023-10-09,1632.85,1636.0,1546.0,1580.13,340141.1,340141.1,-52.7199999999998
2023-10-10,1580.13,1594.9,1550.55,1567.63,240659.33,240659.33,-12.5
