,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD),Difference between opening and closing
2022-01-05,18.21,19.87,16.31,17.11,4464972.53,4464972.53,-1.1000000000000014
2022-01-06,17.12,17.26,16.08,17.06,2682869.44,2682869.44,-0.060000000000002274
2022-01-07,17.07,17.16,15.23,15.76,2769810.35,2769810.35,-1.3100000000000005
2022-01-08,15.77,16.2,14.53,14.92,1535850.86,1535850.86,-0.8499999999999996
2022-01-09,14.93,16.3,14.81,15.8,1329527.16,1329527.16,0.870000000000001
2022-01-10,15.8,16.46,14.64,15.11,2523686.14,2523686.14,-0.6900000000000013
2022-01-11,15.12,16.32,14.98,15.96,1710488.91,1710488.91,0.8400000000000016
2022-01-12,15.97,16.61,15.95,16.28,1250210.31,1250210.31,0.3100000000000005
2022-01-13,16.29,16.59,15.39,15.45,1407495.12,1407495.12,-0.8399999999999999
2022-01-14,15.46,15.96,15.13,15.86,959028.98,959028.98,0.3999999999999986
2022-01-15,15.85,16.72,15.7,16.47,1097913.21,1097913.21,0.6199999999999992
2022-01-16,16.47,18.19,16.29,17.83,1883856.29,1883856.29,1.3599999999999994
2022-01-17,17.83,17.96,16.23,16.63,1629800.43,1629800.43,-1.1999999999999993
2022-01-18,16.64,17.72,15.62,15.98,2159779.56,2159779.56,-0.6600000000000001
2022-01-19,15.97,16.23,15.1,15.11,1148456.18,1148456.18,-0.8600000000000012
2022-01-20,15.12,16.19,14.37,14.46,1317288.83,1317288.83,-0.6599999999999984
2022-01-21,14.45,14.67,12.31,12.64,2858141.45,2858141.45,-1.8099999999999987
2022-01-22,12.64,13.01,10.35,11.15,4555381.5,4555381.5,-1.4900000000000002
2022-01-23,11.14,11.93,10.82,11.42,2354356.17,2354356.17,0.27999999999999936
2022-01-24,11.42,11.43,9.53,10.68,3978296.27,3978296.27,-0.7400000000000002
2022-01-25,10.69,10.94,10.32,10.58,1480467.38,1480467.38,-0.10999999999999943
2022-01-26,10.59,11.77,10.35,10.58,2025241.33,2025241.33,-0.009999999999999787
2022-01-27,10.59,10.92,9.89,10.32,2548189.29,2548189.29,-0.2699999999999996
2022-01-28,10.32,10.74,9.85,10.67,1332611.38,1332611.38,0.34999999999999964
2022-01-29,10.66,11.24,10.57,11.16,1363190.07,1363190.07,0.5
2022-01-30,11.15,11.45,10.64,10.79,1062723.27,1062723.27,-0.3600000000000012
2022-01-31,10.79,11.9,10.29,11.77,1671188.24,1671188.24,0.9800000000000004
2022-02-01,11.77,11.87,11.01,11.11,1723172.05,1723172.05,-0.6600000000000001
2022-02-02,11.11,11.36,10.39,10.52,1659977.39,1659977.39,-0.5899999999999999
2022-02-03,10.51,10.59,9.97,10.41,1348397.8,1348397.8,-0.09999999999999964
2022-02-04,10.4,11.5,10.32,11.18,2241922.29,2241922.29,0.7799999999999994
2022-02-05,11.18,12.04,11.11,11.25,2268387.76,2268387.76,0.07000000000000028
