,Opening Price (USD),Highest Price (USD),Lowest Price (USD),Closing Price (USD),5. volume,6. market cap (USD)
2023-03-04,90.56,90.85,87.40,89.34,347999.15,347999.15
2023-03-05,89.34,91.78,89.18,89.93,358378.99,358378.99
2023-03-06,89.93,90.63,86.40,87.36,628899.91,628899.91
2023-03-07,87.35,88.95,84.00,86.29,642884.79,642884.79
2023-03-08,86.30,86.71,81.30,82.76,625642.83,625642.83
2023-03-09,82.75,84.96,75.00,76.68,1098081.74,1098081.74
2023-03-10,76.69,76.85,67.97,71.37,1958666.31,1958666.31
2023-03-11,71.39,73.83,65.00,69.21,1897147.77,1897147.77
2023-03-12,69.21,76.42,67.39,76.26,1393380.05,1393380.05
2023-03-13,76.25,83.19,74.00,81.46,1843523.52,1843523.52
2023-03-14,81.45,88.24,79.17,83.94,1368971.07,1368971.07
2023-03-15,83.92,85.44,75.00,76.43,1324587.20,1324587.20
2023-03-16,76.43,79.87,75.58,78.86,792504.71,792504.71
2023-03-17,78.85,85.57,78.16,85.51,935169.32,935169.32
2023-03-18,85.51,87.92,81.88,83.02,990444.09,990444.09
2023-03-19,83.01,86.39,82.11,83.98,612655.58,612655.58
2023-03-20,83.99,84.30,77.72,78.05,943193.31,943193.31
2023-03-21,78.04,83.48,76.71,82.48,906639.73,906639.73
2023-03-22,82.48,88.31,79.00,87.27,1760098.98,1760098.98
2023-03-23,87.25,94.54,85.58,93.61,1868065.23,1868065.23
2023-03-24,93.61,95.98,89.07,93.58,1325987.09,1325987.09
2023-03-25,93.58,94.31,90.01,91.50,684739.49,684739.49
2023-03-26,91.49,94.81,90.54,93.32,588285.45,588285.45
2023-03-27,93.32,94.10,87.66,89.23,764069.76,764069.76
2023-03-28,89.24,89.59,85.56,89.13,881860.67,881860.67
2023-03-29,89.13,93.00,88.93,91.31,708985.06,708985.06
2023-03-30,91.31,93.34,86.66,89.06,751300.11,751300.11
2023-03-31,89.06,90.27,87.23,89.57,489786.45,489786.45
2023-04-01,89.56,94.32,89.34,92.57,687331.25,687331.25
